Title                                    Time                     
Alice’s Adventures in Wonderland:        0.6457602977752686       
Alice’s Adventures in Wonderland:        0.6348667144775391       
Alice’s Adventures in Wonderland:        0.6168801784515381       
Alice’s Adventures in Wonderland:        0.6242427825927734       
Alice’s Adventures in Wonderland:        0.6415274143218994       
Alice’s Adventures in Wonderland:        0.6901984214782715       
Alice’s Adventures in Wonderland:        0.6425230503082275       
Alice’s Adventures in Wonderland:        1.0554838180541992       
Alice’s Adventures in Wonderland:        0.970280647277832        
Alice’s Adventures in Wonderland:        0.6869018077850342       
Alice’s Adventures in Wonderland:        0.6223797798156738       
Alice’s Adventures in Wonderland:        0.6197137832641602       
Alice’s Adventures in Wonderland:        0.632178544998169        
Alice’s Adventures in Wonderland:        0.6877138614654541       
Alice’s Adventures in Wonderland:        0.9869730472564697       
Alice’s Adventures in Wonderland:        0.6681084632873535       
Alice’s Adventures in Wonderland:        0.745074987411499        
Alice’s Adventures in Wonderland:        0.8763659000396729       
Alice’s Adventures in Wonderland:        0.6931979656219482       
Alice’s Adventures in Wonderland:        0.7794265747070312       
Alice’s Adventures in Wonderland:        0.7574210166931152       
Alice’s Adventures in Wonderland:        0.7214255332946777       
Alice’s Adventures in Wonderland:        0.6466934680938721       
Alice’s Adventures in Wonderland:        0.6241965293884277       
Alice’s Adventures in Wonderland:        0.6353170871734619       
Alice’s Adventures in Wonderland:        0.6393511295318604       
Alice’s Adventures in Wonderland:        0.6309528350830078       
Alice’s Adventures in Wonderland:        0.6529710292816162       
Alice’s Adventures in Wonderland:        0.6619243621826172       
Alice’s Adventures in Wonderland:        0.6611573696136475       
Alice’s Adventures in Wonderland:        0.6232163906097412       
Alice’s Adventures in Wonderland:        0.6158068180084229       
Alice’s Adventures in Wonderland:        0.633359432220459        
Alice’s Adventures in Wonderland:        0.6214361190795898       
Alice’s Adventures in Wonderland:        0.670823335647583        
Alice’s Adventures in Wonderland:        0.6161038875579834       
Alice’s Adventures in Wonderland:        0.621967077255249        
Alice’s Adventures in Wonderland:        0.6191070079803467       
Alice’s Adventures in Wonderland:        0.6227741241455078       
Alice’s Adventures in Wonderland:        0.6213421821594238       
Alice’s Adventures in Wonderland:        0.6174411773681641       
Alice’s Adventures in Wonderland:        0.6200554370880127       
Alice’s Adventures in Wonderland:        0.6226162910461426       
Alice’s Adventures in Wonderland:        0.6310911178588867       
Alice’s Adventures in Wonderland:        0.6204233169555664       
Alice’s Adventures in Wonderland:        0.6162455081939697       
Alice’s Adventures in Wonderland:        0.6248688697814941       
Alice’s Adventures in Wonderland:        0.6184859275817871       
Alice’s Adventures in Wonderland:        0.6325879096984863       
Alice’s Adventures in Wonderland:        0.652550220489502        
