Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               4               4            0.0            
4            4            3          3               16              16           0.003998517990112305
4            4            4          3               16              16           0.0020012855529785156
8            6            3          3               50              50           0.14161992073059082
8            7            7          5               50              50           0.014034271240234375
8            8            14         10              50              50           0.005582332611083984
8            8            21         14              50              50           0.005997180938720703
16           15           15         10              50              50           0.002541780471801758
16           16           30         18              50              50           0.0019991397857666016
16           16           60         35              50              50           0.0020339488983154297
16           16           90         51              50              50           0.0019998550415039062
32           32           62         34              50              50           0.005546092987060547
32           32           124        60              50              50           0.008000373840332031
32           32           248        128             50              50           0.008539676666259766
32           32           372        192             50              50           0.00500798225402832
64           64           252        131             50              50           0.022128582000732422
64           64           504        260             50              50           0.017106056213378906
64           64           1008       517             50              50           0.017000198364257812
64           64           1512       774             50              50           0.012999773025512695
128          128          1016       524             50              50           0.07202696800231934
128          128          2032       1037            50              50           0.08000421524047852
128          128          4064       2038            50              50           0.05851411819458008
128          128          6096       3081            50              50           0.051520586013793945
256          256          4080       2042            50              50           0.3121819496154785
256          256          8160       4075            50              50           0.2531881332397461
256          256          16320      8173            50              50           0.22816061973571777
256          256          24480      12233           50              50           0.1992509365081787
