Time Limit: 0s, Operations Limit: 100000
Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               5               3            0.0            
4            4            3          3               24              6            0.0            
4            4            4          3               92              16           0.0            
8            6            3          3               108             17           0.0009999275207519531
8            7            7          6               877             128          0.004000186920166016
8            8            14         11              2265            256          0.010030269622802734
8            8            21         15              2385            256          0.014005422592163086
16           15           15         13              100040          5876         0.794884204864502
16           16           30         23              100002          5503         0.7411990165710449
16           16           60         39              100062          5704         0.7363667488098145
16           16           90         55              100011          5753         0.7256820201873779
32           32           62         41              100123          3117         0.7345066070556641
32           32           124        76              100017          2996         0.7245221138000488
32           32           248        142             100008          3120         1.0326225757598877
32           32           372        207             100062          3156         0.6606388092041016
64           64           252        145             100075          1571         1.0041296482086182
64           64           504        283             100019          1543         0.8724024295806885
64           64           1008       546             100043          1619         0.7526350021362305
64           64           1512       787             100011          1557         0.7064061164855957
128          128          1016       555             100072          804          1.7031631469726562
128          128          2032       1072            100169          792          1.4366583824157715
128          128          4064       2100            100064          755          1.1577706336975098
128          128          6096       3106            100003          741          0.994642972946167
256          256          4080       2078            100261          388          2.7860302925109863
256          256          8160       4178            100506          408          2.7612006664276123
256          256          16320      8272            100485          424          2.4024534225463867
256          256          24480      12349           100024          364          1.8937418460845947
