Time Limit: 0s, Operations Limit: 1000000
Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time
4            2            1          1               4               1            0.0            
4            4            3          3               55              7            0.0            
4            4            4          3               192             15           0.0            
8            6            3          3               69              10           0.0009987354278564453
8            7            7          6               10839           127          0.03170967102050781
8            8            14         11              18928           255          0.05320143699645996
8            8            21         15              20764           255          0.06023979187011719
16           15           15         13              1000137         20696        11.496764183044434
16           16           30         23              1000061         26043        14.009452819824219
16           16           60         41              1000025         26189        13.670934915542603
16           16           90         56              1000056         26146        13.342512607574463
32           32           62         45              1000001         27295        11.551557302474976
32           32           124        83              1000014         26779        10.98774528503418
32           32           248        153             1000005         26867        10.45463752746582
32           32           372        206             1000008         26908        10.445573806762695
64           64           252        157             1000022         15082        9.908395290374756
64           64           504        296             1000043         15087        9.625612258911133
64           64           1008       553             1000007         14917        8.45547604560852
64           64           1512       802             1000201         15131        7.651885986328125
128          128          1016       559             1000149         7634         14.747089385986328
128          128          2032       1083            1000348         7621         13.897414922714233
128          128          4064       2105            1000042         7821         12.117575645446777
128          128          6096       3134            1000576         7615         10.204846143722534
256          256          4080       2173            1000029         3876         26.69613766670227
256          256          8160       4188            1000285         3907         24.585204601287842
256          256          16320      8324            1000067         3916         20.463945627212524
256          256          24480      12370           1000096         3911         17.95499563217163
