Time Limit: 60s, Operations Limit: 1000000
Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time           
4            2            1          1               1               2            0.0            
4            4            3          3               4               2            0.0            
4            4            4          3               70              16           0.0009975433349609375
8            6            3          3               260             43           0.0010013580322265625
8            7            7          6               989             128          0.004998207092285156
8            8            14         11              2718            256          0.011998176574707031
8            8            21         15              2574            256          0.013526201248168945
16           15           15         13              578074          32768        16.985623359680176
16           16           30         23              1000031         52973        46.7783842086792
16           16           60         41              1000015         53334        47.41341519355774
16           16           90         56              1000022         53590        48.66182351112366
32           32           62         45              1000006         29917        18.789403200149536
32           32           124        80              1000004         29713        17.463852405548096
32           32           248        148             1000053         29882        16.776336193084717
32           32           372        211             1000044         30001        16.760162830352783
64           64           252        155             1000033         15532        13.080600500106812
64           64           504        290             1000015         15414        11.991390943527222
64           64           1008       551             1000057         15382        11.279045581817627
64           64           1512       796             1000180         15533        10.249973773956299
128          128          1016       561             1000093         7824         18.902007341384888
128          128          2032       1071            1000121         7679         17.50134515762329
128          128          4064       2107            1000287         7792         14.048684358596802
128          128          6096       3120            1000280         7875         12.55029010772705
256          256          4080       2138            1000367         3741         30.25260615348816
256          256          8160       4198            1000514         3956         29.312373399734497
256          256          16320      8321            1000063         3897         24.234997749328613
256          256          24480      12428           1000165         3832         20.8189594745636
