Time Limit: 0s, Operations Limit: 100000
Graph        Vertices     Edges      Maximum Cut     Operations      Attempts     Time
4            2            1          1               26              2            0.0            
4            4            3          3               5               0            0.0            
4            4            4          3               239             15           0.001001596450805664
8            6            3          3               6               2            0.0            
8            7            7          6               5702            127          0.016052961349487305
8            8            14         11              16143           255          0.047688961029052734
8            8            21         15              19618           255          0.05572772026062012
16           15           15         12              100035          4114         0.5246317386627197
16           16           30         22              100014          4205         0.5013289451599121
16           16           60         40              100062          4201         0.5631024837493896
16           16           90         55              100002          4170         0.4908266067504883
32           32           62         44              100049          2896         0.6203124523162842
32           32           124        78              100005          2906         0.7402396202087402
32           32           248        141             100025          2838         0.5467941761016846
32           32           372        205             100051          2898         0.5029435157775879
64           64           252        151             100003          1541         0.8444027900695801
64           64           504        280             100043          1483         0.7619349956512451
64           64           1008       540             100007          1538         0.707892656326294
64           64           1512       790             100122          1552         0.6106860637664795
128          128          1016       546             100008          748          1.3266515731811523
128          128          2032       1057            100153          797          1.3386623859405518
128          128          4064       2085            100042          812          1.1785197257995605
128          128          6096       3128            100527          793          0.9788179397583008
256          256          4080       2117            100240          415          2.8411452770233154
256          256          8160       4174            100123          384          2.679075002670288
256          256          16320      8277            100022          397          2.438746213912964
256          256          24480      12345           100151          408          1.8830010890960693
